ID,Notebook,Equity,Bond,Allocation,Inflation,Tax,WR,Success_Rate,Median_Final,Mean_Final,P5_Final,P95_Final,Failed_Simulations,Failed_Pct,Median_Depletion,Mean_Depletion,Min_Depletion,Data_From,Data_To,N_Simulations,Block_Size_Months
0211,0211_block_notax_i_hicp_m_acwi_b_deit_801010,MSCI ACWI,Bund+BTP,80/10/10,HICP_EU,No Tax,4.0,76.6,1268338,2351093,0,8527823,23404,23.4,24,23.8,10,2000-12-30,2025-10-31,100000,6
0212,0212_block_notax_i_hicp_m_acwi_b_deit_900505,MSCI ACWI,Bund+BTP,90/5/5,HICP_EU,No Tax,4.0,75.18,1376308,2848998,0,10781621,24816,24.8,24,23.1,8,2000-12-30,2025-10-31,100000,6
0300,0300_block_notax_i_hicp_s_e600_b_de_6040,STOXX 600,Bund,60/40,HICP_EU,No Tax,4.0,81.95,3924453,9919297,0,39192568,18052,18.1,22,21.7,8,1997-08-02,2025-10-31,100000,6
0301,0301_block_notax_i_hicp_s_e600_b_de_7030,STOXX 600,Bund,70/30,HICP_EU,No Tax,4.0,80.23,4723474,15380633,0,63823568,19773,19.8,21,20.6,7,1997-08-02,2025-10-31,100000,6
0302,0302_block_notax_i_hicp_s_e600_b_de_8020,STOXX 600,Bund,80/20,HICP_EU,No Tax,4.0,78.25,5456359,23798822,0,101369495,21748,21.7,19,19.6,6,1997-08-02,2025-10-31,100000,6
0303,0303_block_notax_i_hicp_s_e600_b_de_9010,STOXX 600,Bund,90/10,HICP_EU,No Tax,4.0,76.23,6078578,36903053,0,157034506,23765,23.8,18,18.8,6,1997-08-02,2025-10-31,100000,6
0304,0304_block_notax_i_hicp_s_e600_b_de_1000,STOXX 600,-,100,HICP_EU,No Tax,4.0,88.09,11025784,26753425,0,103596483,11914,11.9,21,21.1,7,1987-01-01,2025-10-31,100000,6
0400,0400_block_notax_i_hicp_m_europe_b_de_6040,MSCI Europe,Bund,60/40,HICP_EU,No Tax,4.0,65.0,384577,878249,0,3381309,34999,35.0,25,24.7,11,2000-12-30,2025-10-31,100000,6
0401,0401_block_notax_i_hicp_m_europe_b_de_7030,MSCI Europe,Bund,70/30,HICP_EU,No Tax,4.0,63.92,428468,1115627,0,4462032,36077,36.1,24,23.9,10,2000-12-30,2025-10-31,100000,6
0402,0402_block_notax_i_hicp_m_europe_b_de_8020,MSCI Europe,Bund,80/20,HICP_EU,No Tax,4.0,62.52,447219,1381899,0,5758632,37477,37.5,23,23.1,9,2000-12-30,2025-10-31,100000,6
0403,0403_block_notax_i_hicp_m_europe_b_de_9010,MSCI Europe,Bund,90/10,HICP_EU,No Tax,4.0,60.85,434461,1678483,0,7274934,39146,39.1,23,22.3,8,2000-12-30,2025-10-31,100000,6
0404,0404_block_notax_i_hicp_m_europe_b_de_1000,MSCI Europe,-,100,HICP_EU,No Tax,4.0,58.97,393783,2007341,0,9013865,41027,41.0,22,21.6,7,2000-12-30,2025-10-31,100000,6
0405,0405_block_notax_i_hicp_m_europe_b_it_6040,MSCI Europe,BTP,60/40,HICP_EU,No Tax,4.0,67.85,566126,1227077,0,4677971,32147,32.1,25,24.2,11,2000-12-30,2025-10-31,100000,6
0406,0406_block_notax_i_hicp_m_europe_b_it_7030,MSCI Europe,BTP,70/30,HICP_EU,No Tax,4.0,66.0,562083,1404050,0,5584709,34003,34.0,24,23.6,10,2000-12-30,2025-10-31,100000,6
0407,0407_block_notax_i_hicp_m_europe_b_it_8020,MSCI Europe,BTP,80/20,HICP_EU,No Tax,4.0,63.73,532579,1593587,0,6613002,36268,36.3,23,22.9,9,2000-12-30,2025-10-31,100000,6
