date,Price
2003-06-05,271.70001220703125
2003-06-06,277.9700012207031
2003-06-09,274.4100036621094
2003-06-10,275.8500061035156
2003-06-11,279.29998779296875
2003-06-12,281.1000061035156
2003-06-13,277.07000732421875
2003-06-16,281.6099853515625
2003-06-17,284.489990234375
2003-06-18,286.6099853515625
2003-06-19,281.95001220703125
2003-06-20,284.1099853515625
2003-06-23,279.69000244140625
2003-06-24,278.4100036621094
2003-06-25,279.2799987792969
2003-06-26,279.1000061035156
2003-06-27,279.2200012207031
2003-06-30,276.5
2003-07-01,271.010009765625
2003-07-02,275.9800109863281
2003-07-03,277.7799987792969
2003-07-04,277.05999755859375
2003-07-07,283.7200012207031
2003-07-08,283.2200012207031
2003-07-09,281.19000244140625
2003-07-10,278.5199890136719
2003-07-11,281.760009765625
2003-07-14,285.6199951171875
2003-07-15,283.79998779296875
2003-07-16,282.2699890136719
2003-07-17,279.739990234375
2003-07-18,279.739990234375
2003-07-21,277.4100036621094
2003-07-22,278.6000061035156
2003-07-23,278.07000732421875
2003-07-24,282.9100036621094
2003-07-25,280.70001220703125
2003-07-28,283.9700012207031
2003-07-29,282.9200134277344
2003-07-30,284.80999755859375
2003-07-31,288.0400085449219
2003-08-01,284.8599853515625
2003-08-04,282.6300048828125
2003-08-05,284.6300048828125
2003-08-06,280.7300109863281
2003-08-07,281.5400085449219
2003-08-08,283.94000244140625
2003-08-11,284.739990234375
2003-08-12,286.5899963378906
2003-08-13,287.489990234375
2003-08-14,291.3699951171875
2003-08-15,291.8999938964844
2003-08-18,294.8399963378906
2003-08-19,295.3299865722656
2003-08-20,294.5799865722656
2003-08-21,297.5799865722656
2003-08-22,298.5299987792969
2003-08-25,296.32000732421875
2003-08-26,293.7300109863281
2003-08-27,295.8399963378906
2003-08-28,296.9599914550781
2003-08-29,293.8299865722656
2003-09-01,297.8999938964844
2003-09-02,299.25
2003-09-03,304.07000732421875
2003-09-04,303.29998779296875
2003-09-05,301.3500061035156
2003-09-08,303.0799865722656
2003-09-09,299.0299987792969
2003-09-10,296.67999267578125
2003-09-11,297.45001220703125
2003-09-12,295.70001220703125
2003-09-15,296.7300109863281
2003-09-16,299.9800109863281
2003-09-17,300.8900146484375
2003-09-18,303.2300109863281
2003-09-19,300.4200134277344
2003-09-22,295.239990234375
2003-09-23,294.1700134277344
2003-09-24,294.1600036621094
2003-09-25,292.0199890136719
2003-09-26,289.9100036621094
2003-09-29,288.260009765625
2003-09-30,283.3299865722656
2003-10-01,287.3299865722656
2003-10-02,288.9100036621094
2003-10-03,296.05999755859375
2003-10-06,294.510009765625
2003-10-07,292.04998779296875
2003-10-08,292.04998779296875
2003-10-09,297.7300109863281
2003-10-10,296.0199890136719
2003-10-13,301.2300109863281
2003-10-14,300.3399963378906
2003-10-15,303.3500061035156
2003-10-16,302.44000244140625
2003-10-17,301.6600036621094
2003-10-20,301.5299987792969
2003-10-21,301.9100036621094
2003-10-22,296.82000732421875
2003-10-23,294.6600036621094
2003-10-24,294.1700134277344
2003-10-27,296.8399963378906
2003-10-28,300.0299987792969
2003-10-29,301.1600036621094
2003-10-30,303.5400085449219
2003-10-31,303.6600036621094
2003-11-03,308.44000244140625
2003-11-04,307.1000061035156
2003-11-05,305.3800048828125
2003-11-06,306.7900085449219
2003-11-07,309.80999755859375
2003-11-10,307.239990234375
2003-11-11,305.80999755859375
2003-11-12,306.8500061035156
2003-11-13,307.69000244140625
2003-11-14,309.0
2003-11-17,303.3599853515625
2003-11-18,303.07000732421875
2003-11-19,301.2200012207031
2003-11-20,300.6199951171875
2003-11-21,301.44000244140625
2003-11-24,307.2799987792969
2003-11-25,307.44000244140625
2003-11-26,306.3699951171875
2003-11-27,307.8500061035156
2003-11-28,306.4800109863281
2003-12-01,311.2699890136719
2003-12-02,309.6499938964844
2003-12-03,311.25
2003-12-04,310.8299865722656
2003-12-05,308.70001220703125
2003-12-08,307.2799987792969
2003-12-09,309.5199890136719
2003-12-10,307.0400085449219
2003-12-11,308.79998779296875
2003-12-12,308.3999938964844
2003-12-15,308.9200134277344
2003-12-16,307.42999267578125
2003-12-17,307.6499938964844
2003-12-18,310.57000732421875
2003-12-19,311.3500061035156
2003-12-22,310.1099853515625
2003-12-23,311.6700134277344
2003-12-24,312.3399963378906
2003-12-29,313.2799987792969
2003-12-30,314.3900146484375
2003-12-31,314.8500061035156
2004-01-02,318.239990234375
2004-01-05,319.8399963378906
2004-01-06,319.7200012207031
2004-01-07,318.20001220703125
2004-01-08,321.3699951171875
2004-01-09,319.739990234375
2004-01-12,319.3900146484375
2004-01-13,319.989990234375
2004-01-14,322.92999267578125
2004-01-15,323.0899963378906
2004-01-16,326.6000061035156
2004-01-19,327.3800048828125
2004-01-20,325.7200012207031
2004-01-21,327.2799987792969
2004-01-22,327.3699951171875
2004-01-23,326.8299865722656
2004-01-26,325.9200134277344
2004-01-27,326.4100036621094
2004-01-28,328.0199890136719
2004-01-29,325.55999755859375
2004-01-30,323.989990234375
