"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2015","668.27","667.37","676.66","659.33","","0.47%"
"10/01/2015","665.14","671.80","678.28","663.21","","-0.43%"
"09/30/2015","668.02","655.31","668.80","655.31","","2.52%"
"09/29/2015","651.62","650.25","657.16","644.34","","-0.69%"
"09/28/2015","656.12","670.10","670.87","656.12","","-2.19%"
"09/25/2015","670.84","659.95","673.98","659.95","","2.84%"
"09/24/2015","652.30","665.51","668.58","649.56","","-2.11%"
"09/23/2015","666.38","665.72","673.44","662.24","","0.09%"
"09/22/2015","665.79","686.87","687.25","665.79","","-3.12%"
"09/21/2015","687.22","681.61","690.48","679.86","","0.87%"
"09/18/2015","681.26","690.46","690.46","677.23","","-1.78%"
"09/17/2015","693.58","695.22","696.21","692.04","","-0.18%"
"09/16/2015","694.83","687.50","695.19","687.50","","1.53%"
"09/15/2015","684.38","680.09","686.53","675.32","","0.79%"
"09/14/2015","679.01","683.23","689.18","677.54","","-0.59%"
"09/11/2015","683.02","689.99","690.42","681.99","","-1.01%"
"09/10/2015","689.97","693.20","697.73","687.48","","-1.19%"
"09/09/2015","698.26","697.52","706.94","697.52","","1.33%"
"09/08/2015","689.10","683.81","696.38","683.81","","1.18%"
"09/07/2015","681.05","681.04","685.94","679.08","","0.48%"
"09/04/2015","677.78","691.19","691.19","676.37","","-2.52%"
"09/03/2015","695.30","683.05","698.63","683.05","","2.37%"
"09/02/2015","679.17","677.25","685.20","673.27","","0.27%"
"09/01/2015","677.31","690.88","690.88","673.09","","-2.73%"
"08/31/2015","696.30","696.16","697.85","692.46","","-0.14%"
"08/28/2015","697.26","695.63","697.26","688.44","","0.28%"
"08/27/2015","695.32","681.23","697.60","681.23","","3.48%"
"08/26/2015","671.95","677.59","685.33","665.12","","-1.75%"
"08/25/2015","683.90","662.19","687.09","662.19","","4.20%"
"08/24/2015","656.36","678.49","678.49","637.11","","-5.33%"
"08/21/2015","693.33","710.21","713.42","693.33","","-3.26%"
"08/20/2015","716.66","728.41","729.25","716.22","","-2.04%"
"08/19/2015","731.56","741.83","741.83","731.56","","-1.76%"
"08/18/2015","744.65","742.26","746.80","739.97","","0.22%"
"08/17/2015","742.98","744.91","749.09","736.73","","0.26%"
"08/14/2015","741.02","741.76","746.18","737.88","","-0.12%"
"08/13/2015","741.88","740.04","748.48","740.04","","1.12%"
"08/12/2015","733.68","749.75","749.75","731.27","","-2.70%"
"08/11/2015","754.03","765.81","765.81","753.42","","-1.55%"
"08/10/2015","765.92","762.62","766.14","755.57","","0.69%"
"08/07/2015","760.64","767.01","767.01","760.43","","-0.90%"
"08/06/2015","767.52","771.48","772.26","767.52","","-0.75%"
"08/05/2015","773.29","766.31","773.52","766.31","","1.30%"
"08/04/2015","763.37","764.15","764.77","760.04","","-0.17%"
